fid,area_code,icao_code,airport_identifier,airport_identifier_3letter,airport_name,airport_ref_latitude,airport_ref_longitude,ifr_capability,longest_runway_surface_code,elevation,transition_altitude,transition_level,speed_limit,speed_limit_altitude,iata_ata_designator,id,AP,Main
15832,PAC,VT,VTBD,,DON MUEANG INTL,13.91437222,100.60569167,Y,H,9,11000,13000,250,10000,DMK,VTVTBD,Don Mueang International Airport,Y
15833,PAC,VT,VTBH,,SA PRAN NAK AERO,14.94833333,100.64166667,N,H,95,11000,13000,250,10000,,VTVTBH,Sa Pran Nak Aero Airport,N
15834,PAC,VT,VTBI,,PRACHIN BURI,14.07666667,101.38166667,N,H,80,11000,13000,250,10000,,VTVTBI,Prachin Buri Airport,N
15835,PAC,VT,VTBK,,KAMPHAENG SAEN,14.10200833,99.91725833,Y,H,32,11000,13000,250,10000,KDT,VTVTBK,Kamphaeng Saen Airport,N
15836,PAC,VT,VTBL,,KHOK KATHIAM,14.87463889,100.66338889,Y,H,133,11000,13000,250,10000,KKM,VTVTBL,Khok Kathiam Airport,N
15837,PAC,VT,VTBO,,TRAT,12.27527778,102.32,Y,H,82,11000,13000,250,10000,TDX,VTVTBO,Trat Airport,N
15838,PAC,VT,VTBP,,PRACHUAP KHIRI KHAN,11.78841667,99.804625,N,H,17,11000,13000,250,10000,,VTVTBP,Prachuap Khiri Khan Airport,N
15839,PAC,VT,VTBS,,SUVARNABHUMI INTL,13.68583333,100.74888889,Y,H,8,11000,13000,250,10000,BKK,VTVTBS,Suvarnabhumi International Airport,Y
15840,PAC,VT,VTBT,,BANG PHRA,13.23333333,100.95833333,N,H,90,11000,13000,250,10000,,VTVTBT,Bang Phra Airport,N
15841,PAC,VT,VTBU,,U-TAPAO RAYONG PATTAYA INTL,12.67961111,101.00491667,Y,H,59,11000,13000,250,10000,UTP,VTVTBU,U-Tapao Rayong Pattaya International Airport,N
15842,PAC,VT,VTBW,,WATTHANA NAKHON,13.76875556,102.31554722,N,H,225,11000,13000,250,10000,,VTVTBW,Watthana Nakhon Airport,N
15843,PAC,VT,VTCC,,CHIANG MAI INTL,18.77138889,98.96277778,Y,H,1036,11000,13000,250,10000,CNX,VTVTCC,Chiang Mai International Airport,N
15844,PAC,VT,VTCH,,MAE HONG SON,19.30171667,97.97505556,Y,H,929,11000,13000,250,10000,HGN,VTVTCH,Mae Hong Son Airport,N
15845,PAC,VT,VTCI,,PAI,19.37200833,98.43586389,N,H,1676,11000,13000,250,10000,PYY,VTVTCI,Pai Airport,N
15846,PAC,VT,VTCL,,LAMPANG,18.27083333,99.50416667,Y,H,815,11000,13000,250,10000,LPT,VTVTCL,Lampang Airport,N
15847,PAC,VT,VTCN,,NAN NAKHON,18.80791389,100.78341944,Y,H,685,11000,13000,250,10000,NNT,VTVTCN,Nan Nakhon Airport,N
15848,PAC,VT,VTCP,,PHRAE,18.13222222,100.16472222,Y,H,540,11000,13000,250,10000,PRH,VTVTCP,Phrae Airport,N
15849,PAC,VT,VTCT,,CHIANG RAI INTL,19.95235,99.88295556,Y,H,1280,11000,13000,250,10000,CEI,VTVTCT,Chiang Rai International Airport,N
15850,PAC,VT,VTPB,,PHETCHABUN,16.67603056,101.19510833,Y,H,450,11000,13000,250,10000,PHY,VTVTPB,Phetchabun Airport,N
15851,PAC,VT,VTPH,,HUA HIN,12.63031944,99.95344444,Y,H,62,11000,13000,250,10000,HHQ,VTVTPH,Hua Hin Airport,N
15852,PAC,VT,VTPI,,TAKHLI,15.27731944,100.29586111,Y,H,103,11000,13000,250,10000,TKH,VTVTPI,Takhli Airport,N
15853,PAC,VT,VTPM,,MAE SOT,16.699925,98.55012222,Y,H,693,11000,13000,250,10000,MAQ,VTVTPM,Mae Sot Airport,N
15854,PAC,VT,VTPN,,NAKHON SAWAN,15.67247222,100.13604167,N,H,112,0,13000,250,10000,,VTVTPN,Nakhon Sawan Airport,N
15855,PAC,VT,VTPO,,SUKHOTHAI,17.23768889,99.81833333,Y,H,183,11000,13000,250,10000,THS,VTVTPO,Sukhothai Airport,N
15856,PAC,VT,VTPP,,PHITSANULOK,16.78294167,100.27913333,Y,H,148,11000,13000,250,10000,PHS,VTVTPP,Phitsanulok Airport,N
15857,PAC,VT,VTPR,,PHOTHARAM,13.66861111,99.73138889,N,H,90,11000,13000,250,10000,,VTVTPR,Photharam Airport,N
15858,PAC,VT,VTPT,,TAK,16.89598611,99.25372778,Y,H,478,11000,13000,250,10000,TKT,VTVTPT,Tak Airport,N
15859,PAC,VT,VTPY,,KHUAN PHUMIPHON,17.23333333,99.05,N,H,526,11000,13000,250,10000,,VTVTPY,Khuan Phumiphon Airport,N
15860,PAC,VT,VTSB,,SURAT THANI,9.13613611,99.13904167,Y,H,20,11000,13000,250,10000,URT,VTVTSB,Surat Thani Airport,N
15861,PAC,VT,VTSC,,NARATHIWAT,6.51783611,101.74251111,Y,H,23,11000,13000,250,10000,NAW,VTVTSC,Narathiwat Airport,N
15862,PAC,VT,VTSE,,CHUMPHON,10.71119444,99.36171389,Y,H,22,11000,13000,250,10000,CJM,VTVTSE,Chumphon Airport,N
15863,PAC,VT,VTSF,,NAKHON SI THAMMARAT,8.53961667,99.944725,Y,H,13,11000,13000,250,10000,NST,VTVTSF,Nakhon Si Thammarat Airport,N
15864,PAC,VT,VTSG,,KRABI,8.10016389,98.98531389,Y,H,93,11000,13000,250,10000,KBV,VTVTSG,Krabi Airport,N
15865,PAC,VT,VTSH,,SONGKHLA,7.18571944,100.60879444,N,H,12,11000,13000,250,10000,SGZ,VTVTSH,Songkhla Airport,N
15866,PAC,VT,VTSK,,PATTANI,6.78570833,101.15363611,Y,H,8,11000,13000,250,10000,PAN,VTVTSK,Pattani Airport,N
15867,PAC,VT,VTSM,,SAMUI,9.54888889,100.0625,Y,H,64,11000,13000,250,10000,USM,VTVTSM,Samui Airport,N
15868,PAC,VT,VTSN,,CHA-IAN,8.46388889,99.95833333,N,H,44,11000,13000,250,10000,,VTVTSN,Cha-Ian Airport,N
15869,PAC,VT,VTSP,,PHUKET INTL,8.1125,98.30916667,Y,H,84,11000,13000,250,10000,HKT,VTVTSP,Phuket International Airport,N
15870,PAC,VT,VTSR,,RANONG,9.77762222,98.58548333,Y,H,57,11000,13000,250,10000,UNN,VTVTSR,Ranong Airport,N
15871,PAC,VT,VTSS,,HAT YAI INTL,6.93277778,100.395,Y,H,90,11000,13000,250,10000,HDY,VTVTSS,Hat Yai International Airport,N
15872,PAC,VT,VTST,,TRANG,7.50861667,99.615775,Y,H,67,11000,13000,250,10000,TST,VTVTST,Trang Airport,N
15873,PAC,VT,VTSY,,BETONG,5.78878889,101.14715833,Y,H,738,11000,0,250,10000,,VTVTSY,Betong Airport,N
15874,PAC,VT,VTUD,,UDON THANI,17.38643611,102.78824722,Y,H,579,11000,13000,250,10000,UTH,VTVTUD,Udon Thani Airport,N
15875,PAC,VT,VTUI,,SAKON NAKHON,17.19514167,104.11862778,Y,H,529,11000,13000,250,10000,SNO,VTVTUI,Sakon Nakhon Airport,N
15876,PAC,VT,VTUJ,,SURIN,14.86927778,103.48888889,N,H,478,11000,13000,250,10000,PXR,VTVTUJ,Surin Airport,N
15877,PAC,VT,VTUK,,KHON KAEN,16.46662778,102.78368333,Y,H,681,11000,13000,250,10000,KKC,VTVTUK,Khon Kaen Airport,N
15878,PAC,VT,VTUL,,LOEI,17.43913333,101.72206389,Y,H,860,11000,13000,250,10000,LOE,VTVTUL,Loei Airport,N
15879,PAC,VT,VTUN,,KHORAT,14.93444444,102.07861111,Y,H,729,11000,13000,250,10000,,VTVTUN,Khorat Airport,N
15880,PAC,VT,VTUO,,BURI RAM,15.22675833,103.25123889,Y,H,594,11000,13000,250,10000,BFV,VTVTUO,Buri Ram Airport,N
15881,PAC,VT,VTUQ,,NAKHON RATCHASIMA,14.94949722,102.31273889,Y,H,765,11000,13000,250,10000,NAK,VTVTUQ,Nakhon Ratchasima Airport,N
15882,PAC,VT,VTUU,,UBON RATCHATHANI,15.25127222,104.87024444,Y,H,411,11000,13000,250,10000,UBP,VTVTUU,Ubon Ratchathani Airport,N
15883,PAC,VT,VTUV,,ROI ET,16.11676111,103.77379722,Y,H,451,11000,13000,250,10000,ROI,VTVTUV,Roi Et Airport,N
15884,PAC,VT,VTUW,,NAKHON PHANOM,17.38533889,104.64188889,Y,H,587,11000,13000,250,10000,KOP,VTVTUW,Nakhon Phanom Airport,N
15885,PAC,VT,VTUZ,,NAM PHONG,16.65028333,102.96310833,N,H,723,11000,13000,250,10000,,VTVTUZ,Nam Phong Airport,N
